39,2,13,1,9,2,1,40,0
50,5,13,5,5,3,1,13,0
38,4,9,2,8,2,1,40,0
53,4,7,5,8,3,1,40,0
28,4,13,5,1,4,2,40,0
37,4,14,5,5,4,2,40,0
49,4,5,6,14,2,2,16,0
52,5,9,5,5,3,1,45,1
31,4,14,1,1,2,2,50,1
42,4,13,5,5,3,1,40,1
37,4,10,5,5,3,1,80,1
30,2,13,5,1,3,1,40,1
23,4,13,1,9,5,2,30,0
32,4,12,1,4,2,1,50,0
40,4,11,5,6,3,1,40,1
34,4,4,5,10,3,1,45,0
25,5,9,1,11,5,1,35,0
32,4,9,1,7,1,1,40,0
38,4,7,5,4,3,1,50,0
43,5,14,2,5,1,2,45,1
40,4,16,5,1,3,1,60,1
54,4,9,3,14,1,2,20,0
35,1,5,5,11,3,1,40,0
43,4,7,5,10,3,1,40,0
59,4,9,2,2,1,2,40,0
56,3,13,5,2,3,1,40,1
19,4,9,1,6,5,1,40,0
54,3,10,5,6,3,1,60,1
39,4,9,2,5,2,1,80,0
49,4,9,5,6,3,1,40,0
23,3,12,1,12,2,1,52,0
20,4,10,1,4,5,1,44,0
45,4,13,2,5,5,1,40,0
30,1,10,5,9,5,1,40,0
22,2,10,5,14,3,1,15,0
48,4,7,1,7,1,1,40,0
21,4,10,1,7,5,1,40,0
19,4,9,7,9,4,2,25,0
31,4,10,5,4,3,1,38,1
48,5,12,5,1,3,1,40,0
31,4,5,5,7,3,1,43,0
53,5,13,5,1,3,1,40,0
24,4,13,5,2,3,1,50,0
49,4,9,3,9,1,2,40,0
25,4,9,1,8,2,1,35,0
57,1,13,5,1,3,1,40,1
53,4,9,5,7,3,1,38,0
44,4,14,2,5,1,2,40,0
41,2,11,5,6,3,1,40,0
29,4,11,1,1,2,1,43,0
25,4,10,5,5,4,2,40,0
18,4,9,1,14,5,2,30,0
47,4,15,5,1,4,2,60,1
50,1,13,2,5,2,1,55,1
47,6,9,2,5,2,1,60,0
43,4,10,5,2,3,1,40,1
46,4,3,5,7,3,1,40,0
35,4,11,5,14,3,1,40,0
41,4,9,5,9,3,1,48,0
30,4,9,5,7,3,1,40,0
30,4,13,5,4,3,1,40,0
32,3,4,6,6,2,1,40,0
48,4,9,5,10,3,1,40,0
42,4,16,5,1,3,1,45,1
29,4,10,2,2,2,1,58,0
36,4,9,5,6,3,1,40,0
28,4,10,2,9,2,2,40,0
53,4,9,5,9,4,2,40,1
49,6,10,5,5,3,1,50,1
25,3,10,1,6,5,1,40,0
19,4,10,1,1,5,1,32,0
31,4,13,3,4,5,2,40,0
29,5,13,5,4,3,1,70,1
23,4,10,1,7,2,1,40,0
